Assemblage_Name	8902134-0-3	1-0-0	9167094-0-8649318	2939112-0-2	4-1478698-8649318	4-0-9279074	4-902870-8649318	2-2-3	2712354-0-3	4-0-3	4-0-2	4-0-8649318	3947447-0-3	4-0-5424420	0-2-0	4-0-9078498	2712354-0-7647261	0-6211201-4010348	0-2-2483514	0-2-8645162	3-0-1	4-558142-9078498	1-0-616987	2936154-0-616987	3109428-0-1	0-6211201-7519304	1549997-0-8649318	4-5473392-9078498	2-3922675-3	5885056-2-0	4-8589188-8649318	0-2-7519304	0-2-4580335	3-2-0	2936154-0-3692367	5885056-8545816-0	9515344-0-3	4509872-0-3	263453-0-3	5547970-2-0
assemblage-752-988	0	0	0	0	0	0	0	0	0	205	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	178	0	0	0	0	0	6
assemblage-868-649	0	0	0	0	0	21	0	32	0	13	241	0	0	0	3	0	0	4	38	4	34	0	18	68	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-866-95	0	0	0	0	0	0	0	0	6	195	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	164	0	0	0	0	0	3
assemblage-671-963	0	0	0	0	0	0	0	30	0	10	159	0	0	0	0	0	0	0	0	40	20	0	0	0	0	0	0	0	0	224	0	0	0	10	0	0	0	0	0	7
assemblage-885-931	0	0	0	0	0	0	0	0	0	188	186	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	11	0	0	0	0	0	4
assemblage-829-151	0	0	0	0	0	0	0	0	0	23	306	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	7	0	0	0	0	0	7
assemblage-93-772	0	0	0	0	0	0	24	0	35	67	27	139	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	76	0	0	0	0	0	5
assemblage-953-850	0	24	0	0	0	0	0	103	0	39	83	0	0	0	36	0	0	0	0	0	11	0	46	8	29	41	0	0	0	66	0	0	0	3	0	0	0	0	0	11
assemblage-830-129	0	0	0	0	0	0	0	0	0	60	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	31	34	0	0	0	0	3
assemblage-207-398	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	51	0	0	9	0	0	0	0	0	40	0	0	0	198	0	0	0	0	0	12
