Assemblage_Name	8658978-816113-4	2-6283738-6205447	2-3-1741655	2-3-133081	0-2-43878	1237429-3745009-1	4207318-3-4	6381732-3-4	3-3-0	2-3315108-6205447	2-6548025-4	2-3315108-3176084	2-3-4	2-3315108-3	2-2804055-4	2-4511202-4	0-2-1	0-3608843-1	1-3-4	2-3-2077332	8447513-2804055-4	3-3-5548274	2-5699787-4	2-3-7137280	2-3315108-559019
assemblage-831-655	21	0	0	0	0	0	0	0	72	221	0	46	0	16	0	0	16	0	79	0	0	0	0	0	11
assemblage-228-644	0	0	0	23	0	0	0	0	0	0	35	0	316	0	0	0	0	0	0	40	6	0	0	59	16
assemblage-339-716	8	0	0	0	0	0	0	0	57	7	0	0	86	0	0	0	76	0	203	0	0	0	0	0	21
assemblage-868-903	0	0	0	0	0	61	0	8	46	0	0	0	291	0	0	0	41	0	0	0	0	19	0	0	30
assemblage-262-106	0	0	8	0	0	0	0	0	0	0	13	0	291	0	0	0	0	0	0	43	0	0	0	133	12
assemblage-503-748	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	216	17	0	0	0	0	0	0	15
assemblage-469-755	0	0	0	0	0	0	0	0	0	0	0	0	457	0	0	0	25	0	0	0	0	0	0	0	18
assemblage-600-497	0	17	0	0	0	0	0	0	118	74	0	4	67	0	0	0	174	0	26	0	0	0	0	0	14
assemblage-821-647	30	0	0	0	0	0	0	0	61	231	0	35	0	12	0	0	18	0	80	0	0	0	0	0	6
assemblage-680-942	0	0	0	0	0	0	0	0	0	0	9	0	441	0	0	0	0	9	0	10	0	0	0	0	15
assemblage-678-943	0	0	0	0	0	0	22	0	0	0	82	0	362	0	0	0	0	0	0	0	18	0	0	0	12
assemblage-759-483	0	16	0	0	0	48	0	0	61	17	0	9	127	0	0	12	152	0	8	0	0	10	0	0	6
assemblage-358-189	0	0	0	26	0	0	0	0	0	0	36	0	327	0	0	0	0	0	0	24	13	0	0	61	13
assemblage-211-180	0	0	0	41	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	172	17
assemblage-262-640	0	0	5	0	0	0	0	0	0	0	77	0	255	0	0	0	0	0	0	0	0	0	0	137	16
assemblage-249-737	18	0	0	0	0	0	0	0	15	33	0	0	8	20	0	0	375	0	15	0	0	0	0	0	11
assemblage-605-717	0	65	0	0	0	0	0	19	54	9	0	0	105	0	0	0	146	0	51	0	0	20	0	0	14
assemblage-752-603	0	4	0	0	0	0	0	0	0	0	0	0	401	0	0	0	18	0	18	0	0	0	14	0	14
assemblage-370-702	0	14	0	0	0	0	0	0	105	81	0	3	66	0	0	0	186	0	18	0	0	0	0	0	25
assemblage-450-743	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0	18	0	0	0	0	0	13	0	15
assemblage-470-744	0	0	0	0	0	0	0	0	0	0	0	0	443	0	9	0	0	22	0	0	0	0	17	0	9
assemblage-583-465	0	0	3	96	0	0	85	0	0	0	14	0	108	0	0	0	0	0	0	0	0	0	0	188	6
assemblage-937-366	0	0	0	0	26	0	0	0	0	0	0	0	368	0	15	0	11	0	0	0	0	0	36	0	19
assemblage-936-352	0	0	0	0	37	0	0	0	0	0	0	0	278	0	0	0	22	54	0	0	0	0	56	0	20
assemblage-729-1006	0	7	0	0	0	45	0	0	52	5	0	13	123	0	0	19	159	0	9	0	0	11	0	0	18
assemblage-849-911	0	2	0	0	0	0	0	0	15	0	0	0	132	0	0	45	258	0	17	0	0	8	0	0	23
assemblage-373-247	0	11	0	0	46	103	0	0	13	0	0	0	241	0	0	0	36	0	0	0	0	0	0	0	19
assemblage-668-930	0	0	0	0	0	0	35	0	0	0	85	0	346	0	0	0	0	0	0	0	19	0	0	7	8
assemblage-758-647	0	14	0	0	0	51	0	9	37	0	0	0	311	0	0	0	38	0	0	0	0	22	0	0	18
assemblage-110-333	0	0	0	0	21	0	0	0	0	0	0	0	374	0	10	0	18	0	0	0	0	0	34	0	25
