Assemblage_Name	4-0-4140762	1-1-1	7386993-9325767-0	0-4563939-564943	4-1484877-0	4-0-8205579	251270-1-1	4-1-7618529	0-6554524-4	0-0-7098075	0-6554524-6989085	7386993-0-0	2924522-0-0	4-1-4	4-0-3186675	51023-4563939-564943	4-9616350-7095072	6146344-0-0	4-0-8294017	7429958-3-1	2-2-6290017	7386993-1555804-0	4-0-5755496	3-9678830-5705038	3563672-1-4	2158749-0-4	4-855217-2	9145626-0-0	4-0-0	4-0-979578	4-1-4603217	4-1-7095072	0-0-4	4362213-0-0	4-1-1163146	7666902-2-6290017	4227388-0-979578	3219171-0-0	4-1524340-0	3-9678830-8825763	2923571-0-789714	9748590-0-789714	2588763-4563939-564943	7225620-9684505-0	0-4563939-5431950	1709325-0-0	4-2-2	7225620-0-0	0-0-606052	4-9059184-4	4-0-7709253	4389351-1-4	4-0-789714	3-4371639-1	1-1-7926435	791507-0-4	0-1063087-4	7869756-0-0	4-1-6623292	4919911-0-4	5056300-0-4	6799739-0-4	3-9678830-1	3292319-0-0	9929560-9678830-1	4128305-0-0	8869967-1-4
assemblage-267-236	0	147	0	185	0	0	4	0	0	0	0	0	0	137	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-627-458	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	25	0	0	0	40	0	0	0	0	0	54	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	209	0	0	0	8
assemblage-296-136	0	0	0	71	0	0	0	0	0	0	0	0	0	94	0	0	0	2	0	0	0	0	17	0	0	0	0	0	201	10	0	0	28	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	4
assemblage-537-763	0	0	0	77	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	7
assemblage-930-240	0	0	0	42	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	8	0	29	0	0	0	0	0	0	0	0	0	10	0	0	0	5
assemblage-667-848	0	0	0	120	0	0	0	0	0	0	0	10	0	31	0	0	0	0	0	0	0	0	0	6	0	0	0	0	162	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	59	0	0	0	48	24	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-344-220	0	0	0	66	0	0	0	0	0	0	0	161	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	35	20	0	0	0	0	0	0	0	0	0	0	0	7	0	0	41	0	0	0	8	0	0	0	0	0	0	29	0	0	0	56	0	0	0	10
assemblage-605-243	0	0	0	148	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	24	0	0	0	0	0	0	0	0	0	126	0	0	0	16
assemblage-692-481	0	0	0	72	0	0	0	0	7	0	0	25	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	21	35	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	130	7	0	0	0	0	0	0	0	0	168	0	0	0	7
assemblage-532-565	0	0	0	91	0	0	0	0	45	0	41	34	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	48	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	11	0	29	0	0	0	4
