Assemblage_Name	1-1-0	1-5755206-4	1-4-4	7310923-1731390-4	4133495-4-5015187	2-1-4	3-4-3	3-5828303-3	1-4-5015187	3-6755336-4	4-4-1	3-2-4	4-2-4	1-4-8095603
assemblage-636-922	10	0	162	46	0	10	15	0	0	114	37	91	0	15
assemblage-571-457	0	6	184	0	0	0	0	0	0	204	0	0	56	1
assemblage-617-283	0	0	89	128	0	0	0	0	0	19	129	0	109	19
assemblage-340-180	0	24	104	0	3	0	0	0	0	150	0	0	199	4
assemblage-362-487	0	0	135	0	10	0	0	0	0	63	0	0	281	11
assemblage-914-974	83	0	176	0	0	0	86	0	0	43	7	92	5	8
assemblage-745-570	0	0	205	107	0	0	0	0	0	80	0	0	103	5
assemblage-602-930	8	0	189	53	0	68	57	0	0	8	0	18	74	7
assemblage-754-638	45	0	210	93	0	0	13	0	0	35	25	30	45	4
assemblage-251-956	0	0	304	48	0	0	7	23	0	66	16	0	32	4
assemblage-331-188	0	0	175	0	15	0	0	0	0	164	0	0	131	8
assemblage-412-860	0	0	114	0	0	0	0	0	0	233	23	0	129	1
assemblage-757-478	85	0	168	4	0	7	81	0	0	30	5	107	12	1
assemblage-897-857	0	0	230	0	0	0	0	0	0	79	7	0	176	8
assemblage-676-292	14	0	197	69	0	36	60	0	0	8	6	21	78	5
assemblage-367-320	0	14	49	0	0	0	0	0	0	294	0	0	120	2
assemblage-470-744	0	0	248	3	0	0	0	0	0	81	6	0	161	1
assemblage-828-627	161	0	100	0	0	84	68	0	0	0	0	4	78	5
assemblage-515-132	0	0	238	0	0	0	0	0	0	96	7	0	149	10
assemblage-828-136	14	0	184	133	0	0	0	0	0	63	26	15	58	7
assemblage-111-900	0	0	260	81	0	0	3	0	0	0	40	18	92	6
assemblage-501-748	0	0	316	38	0	0	14	17	0	60	16	0	34	5
assemblage-437-378	13	0	146	53	0	0	56	28	0	51	138	13	0	2
assemblage-605-283	0	0	161	58	0	0	0	0	9	30	67	0	157	11
assemblage-564-470	0	0	230	0	0	0	0	0	0	139	0	0	123	8
assemblage-243-797	0	7	101	0	0	0	0	0	0	225	0	0	139	8
assemblage-668-930	0	0	135	0	13	0	0	0	6	64	0	0	272	10
assemblage-739-488	87	0	181	6	0	6	65	0	0	36	3	110	0	6
assemblage-209-484	0	0	181	44	0	0	0	0	4	33	66	0	133	3
assemblage-827-631	152	0	109	0	0	86	69	0	0	0	0	0	78	6
