Assemblage_Name	1339565-7484335-8263578	5682494-7484335-1	1-1-6944996	3954884-7484335-1	4-1-3232642	1-5107024-1	8451452-1-2	4552213-1-1	1-1-5151313	1339565-5580374-1	1339565-5044676-1	1879988-0-7671467	3-0-7105442	4-1-2863770	1472744-1-2	1-1-4404403	1339565-7538174-1	180718-1-2	8965000-0-7105442	1339565-2456667-1	0-5792033-0	1-7026677-2	1-3949519-2	1-23318-2	1-1-2079233	6891250-0-7671467	1381493-1-1	1339565-7826754-1	1164204-1-1	2-1-1	1-8707854-2	3-0-7492201	3-2616777-6015143	3783259-5540618-1	1339565-7484335-1	1-1-3	1-1-2	3-0-3846968	1-1-9394954	3-5812144-1	8166940-1-1	1472744-1-8582719	3-3-1	1339565-9169272-1	2-1-8856257	1-1-5002676	1-3806533-2	1-7661900-2	2-7918927-1	1339565-1901058-1	3-2616777-4	5490227-3-2	3-0-2498099	1339565-3-5724424	1-1-8035475	3110242-7484335-1	1025655-3-1	4-5540618-6545621	1-1-6337441	1879988-0-2038679	3-0-3161443	1-5245343-2	1879988-0-3145319	1879988-4963439-7671467	317858-1-2	8620309-0-7105442	7856932-3-1	1-1-3783854	4-2876699-1	1-3375723-2	1-1-1681523	1339565-3-7645552	3-9700706-7492201	653731-1-7507654	5450340-0-7105442	2-3-4	4261015-1-2	4-1-6533998	6682028-3-4	1339565-8495067-1	3-3-4022581	4-5540618-1	5643196-4654607-2	653731-9418820-1	2-2792298-1	0-2-0	1339565-2250005-1	6243717-1-4	1-6245310-2	8411892-5540618-1	7155931-1-3232642	1-1-6913132	3-8050839-1	3-8150287-2	913286-1-4	1-4-0	1-1-3575758	7297758-1-2	1339565-7484335-6601514	7757010-3-2	861165-3-2	1339565-2789476-1	1-5106864-2	653731-1-1	1986053-3-1	5643196-3-2	3-5390960-2	1-0-1	1339565-5310263-1	4225080-1-2	1-3417681-2	7854023-0-7105442	9457026-1-3	8436651-1-2	4-1-1	1339565-1728294-1	3-0-7671467	4-1-5162345	3775960-2-0	4588799-1-2	5914652-0-7671467	9583474-0-7492201	0-9399790-0	9790433-0-7492201	8171156-1-2863770	735075-7484335-1	1-6472440-2	4364269-7484335-1	653731-1-7507039	1879988-3984821-7671467	1339565-6097364-1	3-0-4	3-7545958-1	938392-0-7671467	9767998-1-2	621052-5540618-1	1-1-4406435	1339565-3-1	1124404-8150287-2	8238354-1-2	1-1-3766533	2616722-0-7105442	8999308-0-7671467	1-8019347-4404403
assemblage-617-545	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	28	22	0	0	0	0	0	38	0	0	0	0	0	0	0	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	25	0	0	0	35	0	0	0	0	0	0	0	2	7	5	0	0	0	0	0	0	0	4	0	59	20	17	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	73	0	0	0	0	0	13
assemblage-470-601	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	6	48	8	0	0	0	0	0	59	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	16	0	0	0	17	0	2	0	0	0	0	0	7	7	4	0	0	0	0	0	0	0	0	0	38	14	21	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	96	0	0	0	0	0	24
assemblage-523-494	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	33	11	0	0	0	0	0	61	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	15	0	0	0	33	0	15	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	32	11	5	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	85	0	0	0	0	0	45
assemblage-463-336	0	0	0	0	0	0	0	5	0	0	0	0	29	0	0	0	9	0	10	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	17	16	26	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	12	0	0	0	0	0	0	0	19	0	0	0	0	0	15	0	0	0	13	0	25	12	11	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	21
assemblage-269-372	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	31	18	29	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	13	0	0	0	0	0	0	3	14	0	0	0	0	0	9	0	0	0	8	0	32	13	15	0	0	0	0	0	0	25	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	21
assemblage-514-397	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	13	31	32	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	4	0	0	0	0	0	0	0	20	0	0	0	0	0	10	0	0	0	21	0	30	9	22	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	49
assemblage-471-212	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	24	0	38	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	12	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	11	0	12	16	0	0	0	0	0	0	0	30	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	59	0	0	0	0	0	31
assemblage-676-543	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	23	0	35	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	20	0	0	0	0	0	0	0	26	0	10	0	21	0	0	0	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	77	0	0	0	0	0	43
assemblage-419-619	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	21	0	56	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	45	0	2	0	14	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	11	0	20	10	0	0	0	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	37
assemblage-340-403	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	50	0	106	0	0	0	0	0	48	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	32	10	0	0	0	0	54
