assemblage	easting	northing
assemblage-192-602	192	602
assemblage-120-100	120	100
assemblage-52-497	52	497
assemblage-30-1174	30	1174
assemblage-30-260	30	260
assemblage-146-396	146	396
assemblage-130-284	130	284
assemblage-127-924	127	924
assemblage-149-1236	149	1236
assemblage-77-1044	77	1044
assemblage-222-1089	222	1089
assemblage-179-662	179	662
assemblage-38-1083	38	1083
assemblage-83-673	83	673
assemblage-117-676	117	676
assemblage-162-813	162	813
assemblage-52-584	52	584
assemblage-177-406	177	406
assemblage-25-961	25	961
assemblage-42-251	42	251
assemblage-12-1026	12	1026
assemblage-148-230	148	230
assemblage-227-1383	227	1383
assemblage-202-992	202	992
assemblage-223-680	223	680
assemblage-2-768	2	768
assemblage-184-1031	184	1031
assemblage-86-578	86	578
assemblage-82-250	82	250
assemblage-6-1009	6	1009
assemblage-188-570	188	570
assemblage-214-257	214	257
assemblage-162-1162	162	1162
assemblage-6-503	6	503
assemblage-167-1266	167	1266
assemblage-21-80	21	80
assemblage-62-96	62	96
assemblage-17-530	17	530
assemblage-115-263	115	263
assemblage-146-986	146	986
assemblage-1-1359	1	1359
assemblage-55-78	55	78
assemblage-62-135	62	135
assemblage-95-171	95	171
assemblage-83-474	83	474
assemblage-38-363	38	363
assemblage-194-88	194	88
assemblage-180-1309	180	1309
assemblage-185-1230	185	1230
assemblage-99-644	99	644
assemblage-33-1033	33	1033
assemblage-115-597	115	597
assemblage-1-278	1	278
assemblage-28-593	28	593
assemblage-86-100	86	100
assemblage-226-1351	226	1351
assemblage-200-161	200	161
assemblage-39-1078	39	1078
assemblage-71-779	71	779
assemblage-64-266	64	266
assemblage-141-770	141	770
assemblage-128-55	128	55
assemblage-82-555	82	555
assemblage-142-361	142	361
assemblage-166-16	166	16
assemblage-227-1310	227	1310
assemblage-56-221	56	221
assemblage-14-414	14	414
assemblage-143-594	143	594
assemblage-90-611	90	611
assemblage-149-731	149	731
assemblage-26-657	26	657
assemblage-219-792	219	792
assemblage-121-848	121	848
assemblage-190-464	190	464
assemblage-21-1016	21	1016
assemblage-209-699	209	699
assemblage-213-58	213	58
assemblage-205-272	205	272
assemblage-72-293	72	293
assemblage-1-1291	1	1291
assemblage-137-234	137	234
assemblage-195-242	195	242
assemblage-73-1036	73	1036
assemblage-101-71	101	71
assemblage-205-555	205	555
assemblage-51-849	51	849
assemblage-46-397	46	397
assemblage-126-232	126	232
assemblage-112-911	112	911
assemblage-153-52	153	52
assemblage-33-1073	33	1073
assemblage-115-784	115	784
assemblage-196-382	196	382
assemblage-44-250	44	250
assemblage-65-1190	65	1190
assemblage-155-203	155	203
assemblage-216-841	216	841
assemblage-174-1	174	1
assemblage-35-1110	35	1110
assemblage-24-526	24	526
assemblage-59-900	59	900
assemblage-148-991	148	991
assemblage-48-1304	48	1304
assemblage-1-432	1	432
assemblage-116-1181	116	1181
assemblage-206-504	206	504
assemblage-34-588	34	588
assemblage-201-944	201	944
assemblage-18-27	18	27
assemblage-110-1205	110	1205
assemblage-168-270	168	270
assemblage-229-178	229	178
assemblage-161-5	161	5
assemblage-186-1250	186	1250
assemblage-4-668	4	668
assemblage-12-1307	12	1307
assemblage-198-846	198	846
assemblage-216-372	216	372
assemblage-38-723	38	723
assemblage-208-273	208	273
assemblage-188-565	188	565
assemblage-213-1239	213	1239
assemblage-153-588	153	588
assemblage-14-657	14	657
assemblage-8-551	8	551
assemblage-171-674	171	674
assemblage-224-111	224	111
assemblage-50-1055	50	1055
assemblage-54-1117	54	1117
assemblage-193-1208	193	1208
assemblage-149-533	149	533
assemblage-199-747	199	747
assemblage-192-954	192	954
assemblage-149-1066	149	1066
assemblage-192-377	192	377
assemblage-110-472	110	472
assemblage-103-305	103	305
assemblage-39-983	39	983
assemblage-230-266	230	266
assemblage-73-934	73	934
assemblage-213-733	213	733
assemblage-140-927	140	927
assemblage-119-649	119	649
assemblage-0-447	0	447
assemblage-150-1059	150	1059
assemblage-15-1058	15	1058
assemblage-111-691	111	691
assemblage-15-921	15	921
assemblage-107-15	107	15
assemblage-165-225	165	225
assemblage-18-370	18	370
assemblage-162-818	162	818
assemblage-44-972	44	972
assemblage-224-299	224	299
assemblage-21-1006	21	1006
assemblage-71-259	71	259
assemblage-97-496	97	496
assemblage-1-59	1	59
assemblage-102-440	102	440
assemblage-102-97	102	97
assemblage-130-260	130	260
assemblage-213-34	213	34
assemblage-143-974	143	974
assemblage-135-707	135	707
assemblage-164-286	164	286
assemblage-60-1337	60	1337
assemblage-207-719	207	719
assemblage-72-1033	72	1033
assemblage-227-408	227	408
assemblage-206-657	206	657
assemblage-58-1169	58	1169
assemblage-220-738	220	738
assemblage-96-1196	96	1196
assemblage-35-813	35	813
assemblage-86-1302	86	1302
assemblage-168-744	168	744
assemblage-11-886	11	886
assemblage-194-901	194	901
assemblage-133-1294	133	1294
assemblage-170-1338	170	1338
assemblage-93-325	93	325
assemblage-59-834	59	834
assemblage-68-938	68	938
assemblage-33-304	33	304
assemblage-97-1008	97	1008
assemblage-112-1111	112	1111
assemblage-115-100	115	100
assemblage-32-969	32	969
assemblage-160-1160	160	1160
assemblage-94-418	94	418
assemblage-127-1205	127	1205
assemblage-209-659	209	659
assemblage-34-691	34	691
assemblage-120-34	120	34
assemblage-185-607	185	607
assemblage-98-224	98	224
assemblage-107-825	107	825
assemblage-183-1271	183	1271
assemblage-91-619	91	619
