Assemblage_Name	8168961-3-3	6650457-3-2703350	1-0-1	3-6848800-0	2-3-1	3-3-3	5748883-0-0	8219138-0-1	6650457-3-1	4-0-0	3-1-1	3-6848800-5082541	3-3-3937596	0-3-2	1-0-422303	3-107324-3	1-61463-1	3-5377774-3
assemblage-752-988	0	0	277	0	0	47	0	41	0	28	0	62	0	0	0	0	35	10
assemblage-141-138	0	14	135	0	0	75	0	0	0	74	0	170	0	0	0	0	0	8
assemblage-863-648	0	56	73	0	0	161	52	0	100	18	0	9	0	0	0	23	0	8
assemblage-454-431	0	0	0	91	0	356	0	0	0	0	0	0	14	0	0	25	0	14
assemblage-262-925	0	0	74	25	0	107	26	110	54	53	0	14	0	0	0	25	0	12
assemblage-777-970	0	0	136	0	0	7	0	0	0	140	0	103	0	0	15	0	68	12
assemblage-488-381	0	0	160	0	0	26	0	58	0	54	0	173	0	0	0	0	7	12
assemblage-532-222	0	9	136	0	0	109	0	0	0	79	0	139	0	0	0	0	0	9
assemblage-954-840	0	0	10	59	13	164	10	39	0	101	25	7	0	8	0	59	0	5
assemblage-905-827	7	0	124	0	0	107	11	81	13	50	0	67	0	0	0	0	0	4
assemblage-739-314	0	0	146	0	0	25	0	51	0	6	0	227	0	0	11	0	0	4
assemblage-532-763	0	0	218	0	0	0	0	41	0	42	0	174	0	0	4	0	0	16
assemblage-745-591	0	0	228	0	0	0	0	8	0	103	0	115	0	0	40	0	0	6
assemblage-567-217	0	0	309	0	0	0	0	79	0	38	0	66	0	0	0	0	0	8
assemblage-200-472	0	0	32	24	11	94	78	7	19	69	55	0	0	28	0	55	0	14
assemblage-207-398	0	3	80	57	0	109	46	51	70	78	0	0	0	0	0	0	0	6
assemblage-753-307	0	0	339	0	0	0	0	76	0	29	0	51	0	0	0	0	0	5
assemblage-419-432	0	0	0	70	0	374	0	0	0	0	0	0	16	0	0	28	0	12
assemblage-527-780	0	0	224	0	0	0	0	14	0	22	0	214	0	0	0	0	0	13
assemblage-174-110	0	65	115	23	0	160	4	0	19	56	0	45	0	0	0	0	0	13
assemblage-927-390	0	0	274	0	0	0	0	0	0	74	0	102	0	0	43	0	0	7
assemblage-176-91	0	0	93	75	0	78	18	84	65	69	0	0	0	0	0	0	0	18
assemblage-287-849	0	0	107	0	0	0	0	35	0	154	0	49	0	0	0	0	0	9
assemblage-908-840	7	0	135	0	0	103	9	77	21	32	0	62	0	0	0	0	0	2
assemblage-195-455	0	12	21	0	11	99	258	0	53	0	21	0	0	0	0	15	0	10
assemblage-929-942	0	0	263	0	0	58	0	63	0	33	0	50	0	0	0	0	29	4
assemblage-774-931	0	10	119	13	0	74	0	27	34	61	0	152	0	0	0	0	0	10
assemblage-125-165	27	51	231	0	0	93	0	16	0	12	0	60	0	0	0	0	0	6
assemblage-419-440	0	0	0	81	0	366	0	0	0	0	0	0	12	0	0	30	0	11
assemblage-248-931	0	0	116	36	0	27	59	46	81	35	8	21	0	7	0	58	0	6
