Assemblage_Name	5592634-4-1	3-3179916-821237	3-3179916-0	3-2-226164	0-3-2	0-2-6626474	2559871-1-1	3-5235514-1	2-1-1	3-4-1	0-2-2	3-3179916-9616508
assemblage-874-113	0	0	0	0	0	6	0	0	133	0	354	7
assemblage-373-790	0	11	310	0	10	0	0	103	61	5	0	0
assemblage-428-409	0	0	0	0	72	0	0	0	389	28	0	11
assemblage-946-393	0	0	0	43	0	0	11	0	65	0	378	3
assemblage-885-841	0	0	0	84	0	0	0	0	270	0	145	1
assemblage-672-954	0	0	5	106	0	0	0	0	334	0	37	13
assemblage-974-919	0	0	0	0	0	0	0	31	19	449	0	1
assemblage-567-217	0	0	0	0	0	0	0	0	108	0	390	2
assemblage-902-934	0	0	0	120	0	0	0	0	198	0	176	6
assemblage-122-489	23	21	53	86	0	0	0	7	265	23	22	0
assemblage-618-424	0	0	0	0	0	0	0	0	356	0	139	5
assemblage-859-100	0	0	0	54	0	0	13	0	163	0	267	3
assemblage-541-768	0	0	0	0	0	0	0	0	349	0	147	4
assemblage-617-440	0	0	0	0	0	0	33	0	242	0	221	4
assemblage-572-227	0	0	0	0	0	0	0	0	252	0	243	5
assemblage-848-504	0	0	0	295	0	0	0	0	0	0	201	4
assemblage-831-161	4	0	0	0	0	0	0	0	342	0	143	11
assemblage-928-765	0	0	9	18	0	0	0	35	262	71	99	6
assemblage-990-752	0	0	28	54	0	0	0	37	215	20	141	5
assemblage-727-310	0	0	0	0	0	0	0	0	77	0	420	3
assemblage-928-796	0	0	0	17	0	0	0	0	114	0	364	5
assemblage-703-781	0	0	0	118	0	10	0	0	193	0	178	1
assemblage-503-216	0	0	0	116	0	7	0	0	193	0	179	5
assemblage-262-234	0	0	0	101	0	0	0	0	254	0	138	7
assemblage-661-956	0	0	11	7	0	0	0	10	239	0	229	4
assemblage-746-583	0	0	0	15	0	0	0	0	132	0	341	12
assemblage-393-805	0	12	267	0	15	0	0	98	89	15	0	4
assemblage-248-931	0	9	17	5	0	0	0	7	180	53	163	0
assemblage-99-491	25	25	68	80	0	0	0	9	239	37	17	0
assemblage-768-990	0	0	0	31	0	0	0	0	219	0	238	1
