Assemblage_Name	7223456-2-1	3-9837191-4761405	2-3-6938719	3-2-6501075	2-3-5798998	6914244-6770190-0	5384053-2-1	2-3-9550430	7223456-7855379-1	4-2-4310486	3-2-5044732	4-6770190-0	3-3-9633128	3-9837191-2	4-2-0	2-3-1	2-3-8348342	3-2-4	3-6972019-6501075
assemblage-829-151	52	0	0	0	5	0	0	0	26	0	0	0	0	41	28	29	0	310	5
assemblage-943-371	66	2	0	0	0	0	0	33	15	0	0	22	0	0	0	7	0	332	11
assemblage-274-943	0	0	0	0	0	0	0	0	0	0	0	0	12	28	8	335	0	74	19
assemblage-521-793	25	0	0	0	0	0	0	66	0	0	6	16	0	0	0	0	0	338	14
assemblage-986-762	19	0	0	0	30	0	0	0	7	0	0	0	0	36	16	133	0	255	4
assemblage-896-831	46	0	0	0	6	0	0	0	26	0	0	0	0	39	21	21	0	329	7
assemblage-532-222	90	39	0	0	0	0	0	24	58	0	0	0	0	19	26	23	0	184	17
assemblage-428-409	0	0	64	0	0	0	0	0	0	0	0	0	0	89	0	278	7	0	7
assemblage-199-476	0	0	13	0	0	0	65	0	0	0	0	0	5	26	10	245	17	86	18
assemblage-200-472	0	0	0	0	0	0	59	0	0	14	0	0	60	49	72	137	17	51	36
assemblage-572-224	57	14	0	0	0	76	0	0	67	0	52	66	0	0	0	0	0	90	16
assemblage-419-432	0	0	66	0	0	0	0	0	0	0	0	0	0	90	0	287	1	0	15
assemblage-719-315	36	0	0	8	0	0	0	0	0	0	18	15	0	0	0	0	0	296	22
assemblage-243-239	56	0	0	0	31	0	0	0	0	0	0	14	0	67	32	110	0	183	7
assemblage-504-227	88	42	0	0	0	0	0	22	72	0	0	0	0	15	22	21	0	197	21
assemblage-130-147	86	50	0	0	0	0	0	23	56	0	0	0	0	11	17	29	0	209	13
assemblage-727-310	91	0	0	0	0	7	0	0	13	0	39	19	0	0	0	0	0	277	17
assemblage-951-364	73	17	0	0	0	0	0	40	13	0	0	23	0	0	0	3	0	317	8
assemblage-859-809	21	0	0	8	0	0	0	7	0	0	0	35	0	0	0	0	0	397	19
assemblage-496-654	0	0	0	0	0	0	91	0	0	5	0	0	0	0	366	0	0	0	6
assemblage-947-379	41	23	0	0	0	0	0	54	8	0	32	24	0	0	0	0	0	266	9
assemblage-864-95	76	12	0	0	0	0	0	0	53	0	0	6	0	0	2	0	0	337	14
assemblage-595-777	87	0	0	0	3	0	0	0	112	0	0	65	0	0	6	68	0	118	16
assemblage-280-849	0	0	0	50	0	33	0	0	0	0	36	0	0	0	0	0	0	344	24
assemblage-862-661	64	0	0	0	0	0	113	0	0	0	0	0	0	0	22	227	0	56	18
assemblage-923-961	93	30	0	0	7	0	0	21	89	0	0	25	0	0	6	23	0	188	8
assemblage-953-864	0	0	13	0	0	0	53	0	0	0	0	0	16	17	6	221	27	106	17
assemblage-877-571	86	0	0	0	0	0	16	0	0	13	0	0	6	0	170	92	0	95	8
assemblage-664-969	61	0	0	0	82	0	0	10	0	0	0	0	0	80	63	125	0	29	11
assemblage-201-413	78	0	0	0	89	0	0	12	0	0	0	0	0	70	75	95	0	41	10
