Assemblage_Name	1-1-1	1-0-0	2-3-2	2-3-271943	3-4-8423495	3034875-151181-1	2-3-1467683	0-0-4	1-151181-1	1988674-151181-1	4-4898762-1	2-3-6521304	1-6663545-0	9673895-3-2	3-4-1	1-6120847-1
assemblage-239-219	15	0	140	0	0	6	0	0	206	0	0	0	0	29	94	10
assemblage-440-414	167	0	0	0	0	0	0	0	211	0	0	0	0	0	0	7
assemblage-570-232	0	0	246	0	36	0	49	0	66	0	0	22	0	0	60	4
assemblage-262-925	23	13	91	19	0	0	0	0	273	0	0	0	0	0	77	4
assemblage-249-243	39	0	170	10	0	66	0	0	195	0	0	0	0	11	4	5
assemblage-896-831	11	0	141	0	0	0	0	0	218	0	0	0	0	38	81	11
assemblage-491-652	0	250	104	0	0	0	0	126	0	0	0	0	0	0	0	6
assemblage-199-476	94	10	92	0	0	0	0	0	178	0	40	0	0	0	83	3
assemblage-984-775	83	0	192	33	0	0	0	0	169	0	0	0	0	0	16	7
assemblage-502-373	0	0	102	0	102	0	25	0	203	7	0	10	0	0	45	6
assemblage-567-217	0	0	202	0	49	0	56	0	70	0	0	36	0	0	64	7
assemblage-859-100	0	0	267	0	53	0	45	0	102	0	0	0	0	0	20	5
assemblage-964-125	0	0	189	0	114	0	0	0	134	0	0	0	0	0	32	10
assemblage-763-598	0	0	147	0	71	0	136	0	142	0	0	0	0	0	0	4
assemblage-953-850	8	0	124	0	0	0	0	0	36	0	24	0	11	84	209	4
assemblage-877-568	166	18	196	30	0	0	0	0	27	0	0	0	0	0	54	9
assemblage-918-961	0	0	134	30	34	0	14	0	266	0	0	0	0	0	0	22
assemblage-289-864	0	0	184	0	59	0	0	0	203	0	0	23	0	0	0	2
assemblage-504-227	0	0	117	9	0	0	0	0	293	0	0	0	0	0	75	6
assemblage-130-147	0	0	152	10	0	0	8	0	250	0	0	0	0	0	73	7
assemblage-595-777	0	0	127	28	42	0	0	0	222	0	0	0	0	0	63	3
assemblage-280-849	0	0	69	0	9	0	0	0	257	0	0	13	0	0	88	5
assemblage-855-815	0	0	210	0	50	0	0	0	183	0	0	15	0	0	0	11
assemblage-866-568	42	0	129	0	0	0	0	0	270	0	0	0	0	0	46	13
assemblage-1000-776	52	0	248	0	0	0	0	0	50	0	0	0	0	50	73	13
assemblage-393-803	8	0	107	0	0	0	0	5	33	0	16	0	10	105	213	3
assemblage-843-512	0	38	382	0	0	0	0	14	0	0	0	0	65	0	0	1
assemblage-765-587	0	0	259	0	40	0	55	0	105	31	0	0	0	0	0	4
assemblage-201-414	88	0	149	13	0	14	0	0	174	0	0	0	0	0	45	17
assemblage-494-231	0	0	163	64	0	0	11	0	200	44	0	0	0	0	16	2
