Assemblage_Name	1351735-4-2	1-4-2	2-3-3098279	1351735-4-2031615	3906422-3-3	2-2698625-3	0-3-1	4662509-1-0	8790410-0-1	2677740-3-2	2-3-3	3906422-4571637-3	9589978-3-3822089	3711243-2-1	2-4431335-3	3-0-1	2976572-3-1
assemblage-177-111	47	13	0	5	24	0	17	36	0	66	91	21	57	0	0	119	4
assemblage-899-926	0	0	0	37	24	0	59	60	0	0	5	50	10	0	0	146	17
assemblage-373-790	0	197	0	0	26	0	23	137	0	39	26	0	0	26	0	0	12
assemblage-963-933	0	0	0	0	0	0	239	0	0	8	0	0	0	126	0	0	10
assemblage-866-109	0	0	9	49	0	40	58	5	0	0	182	0	0	0	0	112	26
assemblage-902-948	0	0	0	0	0	0	86	111	0	0	142	0	0	0	12	113	23
assemblage-672-954	50	15	0	7	24	0	22	43	0	75	91	14	70	0	0	87	2
assemblage-564-224	0	0	0	0	0	0	186	0	0	0	242	0	0	0	0	56	8
assemblage-905-827	16	0	0	10	74	0	166	49	0	0	66	0	52	0	0	42	6
assemblage-502-373	0	0	31	0	13	23	139	0	12	0	108	0	0	0	0	145	18
assemblage-190-406	25	0	0	0	55	0	139	124	0	0	8	0	0	0	0	54	17
assemblage-300-862	0	0	0	0	0	0	291	0	0	0	148	0	0	0	0	0	30
assemblage-172-461	0	163	0	0	30	0	24	164	0	32	45	0	0	19	0	0	12
assemblage-962-848	0	31	0	0	59	0	86	75	0	16	62	6	0	6	0	141	18
assemblage-964-125	0	0	15	0	0	0	13	0	17	0	292	0	0	0	0	82	5
assemblage-541-768	0	0	0	0	0	66	236	0	0	0	138	0	0	0	0	51	9
assemblage-857-558	0	26	0	0	91	0	81	80	0	25	50	29	0	0	0	59	23
assemblage-831-161	0	0	0	21	25	0	45	34	0	77	134	11	0	0	0	126	27
assemblage-297-850	0	0	0	0	0	70	204	0	0	0	167	0	0	0	0	48	11
assemblage-945-378	0	0	40	15	10	38	130	23	0	0	128	0	0	0	0	86	23
assemblage-863-503	0	11	0	0	0	0	0	52	0	0	224	0	0	0	0	99	11
assemblage-492-366	0	0	125	0	54	40	25	21	0	0	104	0	0	0	0	121	10
assemblage-595-776	0	0	0	0	0	0	96	97	0	0	132	0	0	0	16	132	17
assemblage-718-296	0	0	18	0	0	0	11	0	15	0	272	0	0	0	0	103	16
assemblage-283-928	0	26	0	0	84	0	150	64	0	54	38	19	0	0	0	0	13
assemblage-956-899	0	0	0	0	0	0	262	0	0	0	0	0	0	101	0	0	15
assemblage-125-165	0	0	0	14	62	34	55	0	0	0	144	0	9	0	3	154	13
assemblage-131-161	0	0	0	0	8	0	85	48	0	0	65	11	0	0	0	243	22
assemblage-874-653	15	37	0	0	10	0	0	157	0	9	72	0	0	0	0	181	19
assemblage-806-153	3	0	0	10	36	0	86	48	0	18	97	21	44	0	0	112	10
