Assemblage_Name	3-2-5807499	3-3064259-3	9707162-8981255-3	3-0-2989900	3-8981255-3	2-308863-4	3-2-1	3-2-4	2-7870072-7941624	3-3-0	7318533-8981255-3	2596974-2-1	3-2-6033213	4833492-3-0	4751709-0-5598895	2-0-1	4751709-664296-2	3-3923698-7043162	3-7879053-1	4-4387687-1	3-2-6675216	9501272-2-9793808	4751709-0-2	3-9840885-1	4-6569687-1	3-4-3	3371800-8981255-3	4-1295860-1	4-1-1	2-7588976-7941624	2-7870072-4	2527189-0-2	4-0-3	3-0-2	3-0-0	4833492-7047038-0	4751709-6076253-2	4-1-9116763
assemblage-436-616	0	0	0	12	13	0	0	0	0	0	0	0	0	38	4	0	0	10	0	0	0	29	27	0	31	0	14	20	131	0	71	0	0	0	75	8	0	17
assemblage-371-326	0	0	18	0	49	0	28	0	0	55	0	0	0	9	0	8	0	0	0	0	0	11	26	0	14	16	0	0	147	0	33	0	0	0	53	0	0	30
assemblage-521-511	14	0	0	0	31	20	69	3	27	27	0	10	0	0	0	28	0	0	9	0	0	6	9	5	0	44	0	0	49	0	27	0	21	9	21	0	0	43
assemblage-496-480	25	0	0	0	12	0	32	0	25	26	0	0	0	0	0	11	0	0	0	19	8	44	45	14	0	24	0	0	86	15	46	0	0	0	33	0	0	35
assemblage-607-536	16	0	0	0	27	18	71	10	21	33	0	4	0	0	0	28	0	0	10	0	0	11	8	10	0	61	0	0	36	0	42	0	16	16	19	0	0	43
assemblage-508-408	34	0	0	0	32	0	13	0	0	33	0	0	0	0	0	13	0	0	0	0	0	25	112	5	0	6	0	0	84	13	26	0	0	0	51	0	17	36
assemblage-561-413	0	0	0	0	53	0	54	0	0	45	0	0	0	0	0	6	0	0	0	0	0	3	41	0	0	7	0	0	142	15	27	0	0	0	79	0	0	28
assemblage-516-671	29	0	0	0	6	0	26	0	27	58	0	0	0	0	0	18	6	0	0	0	0	18	61	20	0	21	0	0	95	19	40	0	0	0	25	0	7	18
assemblage-575-628	21	0	0	0	3	0	50	0	32	73	0	0	0	0	0	11	6	0	0	0	0	20	50	17	0	15	0	0	80	22	32	0	0	0	17	0	5	38
assemblage-455-462	0	0	11	0	67	0	16	0	0	43	0	0	0	0	0	6	0	0	0	0	0	20	43	0	10	21	0	0	137	0	22	0	0	0	67	0	0	29
assemblage-503-562	0	0	4	0	23	0	0	0	0	0	9	0	13	27	0	0	0	7	0	0	0	19	48	0	33	0	0	0	129	0	52	0	0	0	104	0	0	32
assemblage-485-386	26	5	0	0	0	16	48	0	25	35	0	0	0	0	0	30	0	0	7	9	0	32	31	13	0	46	0	0	69	3	27	0	12	4	17	0	0	38
assemblage-575-573	0	0	11	0	39	0	0	0	0	39	8	0	0	28	0	0	0	0	0	0	0	20	43	0	31	0	0	0	115	0	34	14	0	0	84	0	0	34
assemblage-524-415	4	0	0	0	60	0	39	0	0	47	0	0	0	0	0	12	0	0	0	0	0	4	66	0	0	0	0	0	128	14	34	0	0	0	63	0	0	29
assemblage-499-597	0	0	0	0	59	0	56	0	0	34	0	0	0	0	0	24	0	0	0	0	0	0	48	0	0	0	0	0	139	6	24	0	0	0	60	0	0	50
assemblage-426-380	2	0	0	0	26	21	78	7	41	29	0	3	0	0	0	24	0	0	6	0	0	19	7	5	0	40	0	0	60	0	45	0	29	8	20	0	0	24
assemblage-440-473	21	0	0	0	21	0	26	0	0	34	0	0	0	0	0	18	0	0	0	0	0	27	98	18	0	7	0	0	74	7	33	0	0	0	66	0	15	30
assemblage-348-555	0	0	13	0	40	0	16	0	0	44	0	0	0	7	0	9	0	0	0	0	0	10	44	0	7	15	0	0	163	0	30	0	0	0	65	0	0	37
assemblage-555-586	0	0	12	0	34	0	0	0	0	29	12	0	0	34	0	0	0	0	0	0	0	19	45	0	29	0	0	0	128	0	44	7	0	0	65	0	0	42
assemblage-467-475	37	0	0	0	3	0	40	0	25	55	0	0	0	0	0	13	0	0	0	0	0	32	62	13	0	11	0	0	68	19	26	0	0	0	37	0	9	50
assemblage-620-556	0	0	7	0	17	0	0	0	0	0	14	0	12	39	0	0	0	7	0	0	0	13	39	0	26	0	0	0	141	0	46	0	0	0	104	0	0	31
assemblage-431-606	24	6	0	0	11	0	36	0	19	22	0	0	0	0	0	14	7	0	0	32	6	33	56	17	0	24	0	0	65	18	39	0	10	0	33	0	0	28
assemblage-506-749	19	0	0	0	36	0	35	0	0	32	0	0	0	0	0	21	0	0	0	0	0	28	83	11	0	3	0	0	82	8	19	0	0	0	81	0	11	31
assemblage-311-422	0	0	0	24	4	0	0	0	0	0	0	0	5	41	4	0	0	11	0	0	0	27	19	0	32	0	8	14	119	0	73	0	0	0	88	9	0	22
assemblage-382-587	0	0	0	20	7	0	0	0	0	0	0	0	0	44	13	0	0	10	0	0	0	13	30	0	42	0	6	25	106	0	54	0	0	0	97	11	0	22
