Assemblage_Name	2096765-4-8793825	4516626-3-4	0-2210072-1	1-8436987-4	1947806-0-694324	2-9465097-0	1717892-9465097-0	2-9465097-7921136	14731-9465097-0	116781-9465097-0	8278759-8355217-0	7604154-0-694324	3654739-4-7752692	1-6539575-694324	4491209-9465097-0	2-9519865-0	1-4547653-694324	1-0-1995752	1-3-262466	2-7792931-2	1-3-2848464	3654739-4-2	1-0-298329	4-4-7672833	8501733-4-2	4-7923879-8793825	4-4-9848941	1-0-7945478	4-6045414-2	2-9465097-8352244	1-0-6955090	1-3-9292882	7148908-3-262466	2-5089508-0	4-1811098-2	1-0-694324	1-7084927-4	2-2-1156293	1-3197087-694324	173264-0-694324	1-0-78518	0-1209237-1	4-4-3560244	4-6522790-2	4-4-8893633	4-9495072-8680044	2-8355217-0	9240779-0-694324	4771871-4-8793825	2-2-2	0-2295305-5397743	1-3-4	1-0-8963313	5052693-4-8793825	2-2-9526019	2-8832309-0	4-176275-8793825	1-7005138-694324	6765892-9465097-0	1-4024928-1412610	8038110-0-694324	1-3-2843683	2315369-0-694324	1-4024928-694324	1-8592511-694324	1415221-0-9444128	4-6045414-6003229	2-9465097-154576	4-4-2702284	7452158-0-694324	2-9465097-1384369	14731-6362121-0	0-71187-1	0-2295305-1	2-9465097-4658033	1418251-0-694324	1-3574320-4	4-8898766-8793825	4-4-2	2-2781308-0	528031-0-694324	1-0-5715927	1-700648-4	482988-9465097-0	4-4-8793825	1-2333984-694324	1-3-9200205	2-5321968-0	9444668-5089508-0
assemblage-105-958	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	7
assemblage-107-971	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	7
assemblage-256-256	0	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-527-662	0	0	0	0	0	47	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	21	0	0	0	0	142	0	0	0	0	0	0	0	0	0	8
assemblage-521-677	0	0	0	0	0	34	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	40	0	0	0	0	136	0	0	0	0	0	0	0	0	0	10
assemblage-521-357	0	0	0	0	0	9	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	37	0	9	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	59	0	0	0	11
assemblage-483-866	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	94	0	50	0	0	0	0	37	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	39	0	21	0	27	0	5
assemblage-380-183	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	87	0	0	0	0	0	0	48	0	61	0	0	0	0	13	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	95	0	0	0	0	0	10	0	0	0	4
assemblage-478-884	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	12	0	41	0	0	0	0	0	0	0	0	0	0	0	13	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	19	0	0	0	0	32	0	0	0	0	0	24	0	40	0	23
assemblage-670-582	0	0	5	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	15	77	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	5	0	0	0	9	0	48	0	31	0	8
assemblage-912-154	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	20	62	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	7	0	0	0	7	0	34	0	19	0	8
assemblage-667-575	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	6	89	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	5	0	30	0	11	0	13
assemblage-893-305	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	92	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	40	0	0	0	0	8	0	0	0	0	0	86	0	0	0	17
assemblage-273-900	0	0	12	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	71	0	77	0	0	0	10	0	0	0	0	20	0	0	0	13	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	49	0	0	0	23
