Assemblage_Name	7724876-3-0	2823426-3-0	1-6136844-6288469	5037398-3-0	4748445-3-0	3-2296024-2	3227282-6136844-0	2957402-3-2	4335779-6136844-0	1-3737015-0	6037916-4-1	1-3-238461	1-6136844-86309	7894232-3-0	1-3-3426224	7070894-3-0	5454521-6136844-0	3-3-3487925	1-3-8106425	9706544-3-0	5207000-0-0	1-3-5130677	9658448-3-2602592	3-3-2	3788018-3-0	4568533-3-0	3-9556433-2	4800572-6136844-3009163	0-0-1	4335779-9498123-621066	3-3120422-8874061	3267198-9418046-2	1-3-3867490	1-6557329-0	1-8729062-0	7070894-9653197-0	4922361-9556433-2	1069799-3-0	2-3-0	3-3-153319	6654257-3-0	8576247-3-0	3-8746527-2	1-3692398-0	3-9556433-3372581	1-6136844-3009163	1-3-2648723	1-3-0	1-0-3538608	1-3-4759572	7070894-6851436-0	1-6600188-0	1-6130398-0	1-1741643-0	1-2544327-0	6177437-3-0	3-3-7861478	3-4-0	1-5010628-0	1-5962811-0	7338034-9498123-0	1-8426989-0	3-2574036-2	1-6136844-0	2538550-0-0	1-0-0	3-3-2053895	1-3-9407415	1-3-8788018	3-9556433-804995	1-3-4058278	1-659375-0	6275101-3-0	0-3433803-1	1-6136844-4895899	7669638-3-2	1-6136844-4302309	0-0-5690961	180140-3-3426224	3-3-8874061	180140-9145569-3426224	4335779-9498123-0	3-6138676-2	3-9444008-2	2-2-2168089	7070894-3-5189439
assemblage-843-512	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-493-666	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-505-653	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0	0	0	44	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	9	4	93	0	0	0	0	0	0	0	11	0	0	0	24	0	0	0	0	0	0	0	23
assemblage-908-762	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	70	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	74	0	52	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	9
assemblage-180-470	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	13	0	0	0	0	18	0	0	0	0	0	5	0	29	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	25
assemblage-936-773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	4	0	0	0	70	0	0	0	0	0	0	0	12
assemblage-857-558	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	61	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	22
assemblage-877-568	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-94-494	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-975-756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	35	0	0	116	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-664-969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	31	0	0	108	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-201-414	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-885-841	0	0	0	0	0	12	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-896-831	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-771-953	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-522-210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	6
assemblage-901-928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	5
assemblage-698-780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-585-782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-776-962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-627-775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	53	0	0	24	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	15
assemblage-920-795	0	0	0	25	0	0	53	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	13	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-505-367	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	78	0	0	0	0	0	0	0	9	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	22
assemblage-502-373	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	30
assemblage-572-227	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	81	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	14
assemblage-573-213	0	0	0	0	0	0	0	0	33	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	51	0	81	0	0	6	0	0	0	13	0	0	0	0	0	0	18	0	49	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	41	0	0	0	24
assemblage-939-116	0	0	0	0	0	0	0	0	25	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	20	0	0	0	0	5	0	0	0	35	0	114	0	0	11	0	0	0	11	0	0	0	0	0	0	14	0	66	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	38	0	0	0	15
assemblage-532-763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	15	0	83	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	14	0	13	20	0	0	0	18
assemblage-507-779	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	159	0	0	0	30
assemblage-842-827	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
