Assemblage_Name	0-4-292997	4-0-4445697	6388987-0-4	5596768-4-1	4-1-2	0-4-1	0-4-0	0-4-5555283	4-0-2218569	0-4-2087755	4-0-4	3-1-0	0-0-4	4-4332222-4	2-4-3	4-2-0	1-2-0	5162307-4-1	4058765-4-1	0-9979452-1	0-8930128-1	0-6262039-1	6512468-0-4	4187392-4-1	1911885-4-1
assemblage-532-354	12	0	0	0	0	232	8	10	0	0	154	7	18	0	7	0	0	17	0	0	0	0	0	24	11
assemblage-707-574	0	48	14	0	0	63	0	0	0	0	8	0	200	22	0	0	0	0	10	0	97	29	0	0	9
assemblage-432-615	13	0	0	0	0	206	0	18	0	0	183	0	16	0	0	0	0	36	0	0	0	0	0	12	16
assemblage-472-658	0	0	0	0	13	203	52	0	0	0	29	8	24	0	76	32	0	5	0	0	0	0	15	0	31
assemblage-557-394	0	38	0	0	0	107	0	0	38	0	114	0	107	32	0	0	0	26	0	0	18	0	0	0	9
assemblage-591-436	17	0	0	0	0	218	30	0	0	0	107	9	21	0	19	0	0	29	0	0	0	0	4	0	34
assemblage-457-537	10	0	0	0	0	206	0	0	26	0	144	3	39	4	0	0	0	27	0	0	0	0	0	20	21
assemblage-257-556	0	43	10	0	0	72	0	0	0	0	11	0	210	34	0	0	0	0	8	0	87	17	0	0	8
assemblage-342-496	0	32	0	0	0	57	0	0	22	0	48	0	197	44	0	0	0	0	15	0	47	20	0	0	18
assemblage-425-523	0	34	0	0	0	125	0	0	32	0	100	0	99	45	0	0	0	21	0	0	24	9	0	0	11
assemblage-513-431	0	0	0	0	15	133	58	0	0	16	53	14	42	0	113	24	0	0	0	11	0	0	0	0	21
assemblage-607-536	0	0	0	0	6	187	75	0	0	7	35	11	20	0	107	22	0	0	0	10	0	0	0	0	16
assemblage-508-408	0	0	0	0	0	186	0	0	27	0	145	18	39	14	0	0	0	36	0	0	0	0	0	11	24
assemblage-356-528	0	79	12	0	0	51	0	0	0	0	0	0	194	54	0	0	0	0	8	0	25	51	0	0	15
assemblage-300-435	7	0	0	0	0	283	22	0	0	0	54	20	34	0	35	6	0	17	0	0	0	0	0	0	22
assemblage-412-544	0	12	0	0	0	150	0	0	18	0	109	0	106	39	0	0	0	28	0	0	20	0	0	0	18
assemblage-530-477	0	0	0	13	6	251	47	0	0	11	9	9	33	0	71	16	6	3	0	0	0	0	16	0	9
assemblage-615-413	0	0	0	0	0	179	0	0	20	0	156	6	50	18	7	0	0	29	0	0	0	0	0	19	16
assemblage-509-331	0	4	0	0	0	171	0	0	12	0	103	0	125	26	0	0	0	38	0	0	10	0	0	0	11
assemblage-392-572	0	0	0	6	14	164	57	0	0	13	50	17	17	0	107	16	6	0	0	11	0	0	0	0	22
assemblage-489-537	0	0	0	0	0	159	0	0	22	0	133	0	105	24	0	0	0	21	0	0	18	0	0	0	18
assemblage-614-342	0	41	12	0	0	48	0	0	0	0	0	0	257	29	0	0	0	0	11	0	43	44	0	0	15
assemblage-478-729	0	32	7	0	0	70	0	0	0	0	10	0	210	35	0	0	0	0	22	0	86	13	0	0	15
assemblage-494-453	22	0	0	0	0	228	0	10	0	0	165	10	18	0	0	0	0	26	0	0	0	0	0	6	15
assemblage-491-640	0	0	0	7	6	209	38	0	0	7	17	14	35	0	80	30	5	9	0	0	0	0	18	0	5
assemblage-599-491	0	53	23	0	0	65	0	0	0	0	0	0	205	29	0	0	0	0	17	0	42	39	0	0	17
assemblage-512-682	0	18	0	0	0	74	0	0	12	0	48	0	176	42	0	0	0	0	20	0	79	19	0	0	12
assemblage-490-423	12	0	0	0	10	235	40	0	0	0	95	15	23	0	20	0	0	22	0	0	0	0	0	0	28
assemblage-340-463	0	35	0	0	0	83	0	0	29	0	26	0	161	36	0	0	0	0	13	0	71	27	0	0	19
assemblage-630-718	0	30	0	0	0	110	0	0	32	0	102	0	115	46	0	0	0	18	5	0	29	0	0	0	13
