Assemblage_Name	1-1-1	1-0-0	2455755-1-2	4-1-2	1-1-2050263	0-4-4	3763183-1-2	2-2-0	990696-0-0	4-1-623510	2020126-0-0	3-3-4368035	2-4-3	3-9753152-3	3-0-4	2655142-2-0	2-0-0	1-2-4	3-3667-3	0-5095285-0	3-3-3	1-0-8737485	3-3-73085	1274646-0-0
assemblage-363-465	18	119	0	33	0	7	0	9	11	0	28	0	10	0	0	52	12	29	0	28	124	11	0	9
assemblage-368-631	16	11	15	128	0	0	0	0	9	0	0	0	44	11	0	6	0	0	5	0	237	0	0	18
assemblage-409-524	25	13	12	122	0	0	0	0	3	0	0	0	57	16	0	8	0	0	11	0	210	0	0	23
assemblage-432-615	37	103	0	61	0	0	0	0	57	0	32	9	29	0	0	36	0	0	0	28	95	0	0	13
assemblage-472-658	27	131	0	33	0	0	0	7	12	0	38	0	7	0	0	45	15	28	0	16	106	20	0	15
assemblage-603-296	42	128	0	31	0	10	0	10	4	0	27	0	10	0	0	45	7	25	0	21	100	20	0	20
assemblage-418-418	0	0	0	125	0	0	2	0	7	0	0	0	62	13	0	0	0	0	0	0	262	0	16	13
assemblage-318-446	0	0	0	24	0	0	10	0	13	0	0	0	72	75	0	0	0	0	0	0	251	0	46	9
assemblage-559-518	13	42	14	106	0	0	0	0	0	3	0	0	36	7	0	14	0	0	36	8	217	0	0	4
assemblage-545-352	42	94	0	21	0	0	0	0	42	0	30	0	7	0	0	78	7	13	0	43	107	13	0	3
assemblage-511-565	16	84	0	75	12	0	0	0	18	0	10	0	26	10	0	43	0	0	9	11	181	0	0	5
assemblage-659-658	8	19	15	100	0	0	0	0	0	7	0	0	34	24	0	9	0	0	41	20	209	0	0	14
assemblage-598-540	18	16	7	150	0	0	0	0	0	0	0	0	43	14	0	0	0	0	12	0	214	0	0	26
assemblage-390-657	33	113	0	61	8	0	0	0	55	0	24	5	20	0	0	47	0	4	10	17	100	0	0	3
assemblage-604-694	20	92	0	63	13	0	0	0	14	0	6	0	51	0	0	24	0	0	9	21	185	0	0	2
assemblage-532-375	0	0	0	42	0	0	6	0	4	0	0	0	90	72	0	0	0	0	0	0	240	0	40	6
assemblage-462-580	0	0	0	50	0	0	15	0	3	0	0	0	68	71	0	0	0	0	0	0	244	0	44	5
assemblage-494-568	47	113	0	14	0	11	0	18	0	0	44	0	7	0	24	32	8	39	0	0	113	9	0	9
assemblage-586-332	34	129	0	24	0	13	0	24	0	0	36	0	12	0	17	24	6	33	0	6	122	20	0	0
assemblage-483-389	0	0	0	113	0	0	0	0	9	0	0	0	47	24	0	0	0	0	0	0	288	0	8	11
assemblage-376-551	38	85	0	57	0	0	0	0	59	0	34	4	17	0	0	40	0	4	9	41	103	0	0	9
assemblage-489-379	26	100	0	31	0	0	0	0	25	0	30	0	15	0	0	89	3	11	0	43	114	13	0	0
assemblage-620-556	0	0	0	60	0	0	7	0	15	0	0	0	65	55	0	0	0	0	0	0	274	0	22	2
assemblage-415-358	27	113	0	29	0	0	0	0	25	0	21	0	13	0	0	86	8	12	0	48	97	16	0	5
assemblage-556-572	0	0	0	108	0	0	0	0	7	0	0	0	60	26	0	0	0	0	0	0	262	0	25	12
assemblage-402-473	0	0	0	52	0	0	12	0	13	0	0	0	53	68	0	0	0	0	0	0	272	0	25	5
assemblage-617-425	0	0	0	74	0	0	4	0	15	0	0	0	43	57	0	0	0	0	0	0	283	0	21	3
assemblage-442-394	38	94	0	19	0	19	0	27	0	0	42	0	15	0	16	33	13	37	0	0	119	19	0	9
assemblage-388-516	17	20	10	80	0	0	0	0	5	9	0	0	51	33	0	22	0	0	21	17	212	0	0	3
assemblage-580-466	17	78	0	72	8	0	0	0	13	0	5	0	25	0	0	21	0	0	27	17	198	0	0	10
