assemblage	easting	northing
assemblage-949-300	949	300
assemblage-956-316	956	316
assemblage-955-304	955	304
assemblage-948-296	948	296
assemblage-959-327	959	327
assemblage-950-291	950	291
assemblage-951-307	951	307
assemblage-952-290	952	290
assemblage-823-950	823	950
assemblage-825-957	825	957
assemblage-836-963	836	963
assemblage-832-957	832	957
assemblage-824-965	824	965
assemblage-825-948	825	948
assemblage-826-970	826	970
assemblage-835-941	835	941
assemblage-256-256	256	256
assemblage-271-278	271	278
assemblage-275-260	275	260
assemblage-262-256	262	256
assemblage-261-263	261	263
assemblage-277-258	277	258
assemblage-254-263	254	263
assemblage-276-265	276	265
assemblage-105-958	105	958
assemblage-121-962	121	962
assemblage-113-959	113	959
assemblage-121-967	121	967
assemblage-122-945	122	945
assemblage-106-951	106	951
assemblage-107-971	107	971
assemblage-111-935	111	935
assemblage-520-365	520	365
assemblage-516-349	516	349
assemblage-522-357	522	357
assemblage-536-381	536	381
assemblage-536-360	536	360
assemblage-521-357	521	357
assemblage-526-377	526	377
assemblage-533-383	533	383
assemblage-849-805	849	805
assemblage-837-802	837	802
assemblage-876-781	876	781
assemblage-863-789	863	789
assemblage-865-797	865	797
assemblage-858-776	858	776
assemblage-861-791	861	791
assemblage-860-803	860	803
assemblage-530-672	530	672
assemblage-546-680	546	680
assemblage-521-677	521	677
assemblage-527-662	527	662
assemblage-534-685	534	685
assemblage-527-667	527	667
assemblage-506-671	506	671
assemblage-513-685	513	685
assemblage-722-263	722	263
assemblage-714-272	714	272
assemblage-701-261	701	261
assemblage-716-247	716	247
assemblage-706-260	706	260
assemblage-729-265	729	265
assemblage-730-265	730	265
assemblage-715-242	715	242
assemblage-169-400	169	400
assemblage-149-384	149	384
assemblage-156-401	156	401
assemblage-132-399	132	399
assemblage-149-396	149	396
assemblage-147-401	147	401
assemblage-152-385	152	385
assemblage-140-383	140	383
assemblage-483-894	483	894
assemblage-476-875	476	875
assemblage-483-866	483	866
assemblage-475-889	475	889
assemblage-478-871	478	871
assemblage-463-898	463	898
assemblage-469-877	469	877
assemblage-478-884	478	884
assemblage-503-522	503	522
assemblage-489-515	489	515
assemblage-479-511	479	511
assemblage-488-508	488	508
assemblage-490-497	490	497
assemblage-488-504	488	504
assemblage-495-501	495	501
assemblage-490-502	490	502
assemblage-380-183	380	183
assemblage-373-179	373	179
assemblage-376-184	376	184
assemblage-371-189	371	189
assemblage-383-199	383	199
assemblage-375-188	375	188
assemblage-379-174	379	174
assemblage-370-178	370	178
assemblage-667-580	667	580
assemblage-670-582	670	582
assemblage-667-575	667	575
assemblage-687-581	687	581
assemblage-688-589	688	589
assemblage-661-568	661	568
assemblage-674-596	674	596
assemblage-677-600	677	600
assemblage-402-869	402	869
assemblage-410-885	410	885
assemblage-400-899	400	899
assemblage-391-891	391	891
assemblage-409-893	409	893
assemblage-397-865	397	865
assemblage-413-864	413	864
assemblage-389-888	389	888
assemblage-213-390	213	390
assemblage-210-392	210	392
assemblage-227-401	227	401
assemblage-207-392	207	392
assemblage-212-405	212	405
assemblage-207-404	207	404
assemblage-224-414	224	414
assemblage-203-402	203	402
assemblage-895-169	895	169
assemblage-912-154	912	154
assemblage-909-174	909	174
assemblage-884-180	884	180
assemblage-895-157	895	157
assemblage-903-174	903	174
assemblage-901-168	901	168
assemblage-893-167	893	167
assemblage-262-886	262	886
assemblage-237-898	237	898
assemblage-262-911	262	911
assemblage-260-895	260	895
assemblage-273-900	273	900
assemblage-254-885	254	885
assemblage-261-874	261	874
assemblage-244-910	244	910
assemblage-876-300	876	300
assemblage-893-305	893	305
assemblage-907-307	907	307
assemblage-891-310	891	310
assemblage-896-310	896	310
assemblage-900-315	900	315
assemblage-867-301	867	301
assemblage-891-302	891	302
assemblage-432-143	432	143
