assemblage	easting	northing
assemblage-392-572	392	572
assemblage-340-370	340	370
assemblage-459-519	459	519
assemblage-327-510	327	510
assemblage-526-324	526	324
assemblage-398-566	398	566
assemblage-442-394	442	394
assemblage-494-568	494	568
assemblage-491-463	491	463
assemblage-431-586	431	586
assemblage-401-599	401	599
assemblage-607-536	607	536
assemblage-605-473	605	473
assemblage-433-681	433	681
assemblage-549-707	549	707
assemblage-486-541	486	541
assemblage-574-440	574	440
assemblage-385-572	385	572
assemblage-581-500	581	500
assemblage-426-380	426	380
assemblage-616-507	616	507
assemblage-313-642	313	642
assemblage-521-511	521	511
assemblage-393-549	393	549
assemblage-405-561	405	561
assemblage-665-452	665	452
assemblage-437-568	437	568
assemblage-391-539	391	539
assemblage-720-545	720	545
assemblage-291-504	291	504
assemblage-525-433	525	433
assemblage-530-503	530	503
assemblage-663-385	663	385
assemblage-465-469	465	469
assemblage-447-549	447	549
assemblage-523-494	523	494
assemblage-401-535	401	535
assemblage-509-612	509	612
assemblage-397-422	397	422
assemblage-586-332	586	332
assemblage-345-414	345	414
assemblage-561-438	561	438
assemblage-513-431	513	431
assemblage-540-375	540	375
assemblage-353-362	353	362
assemblage-513-505	513	505
assemblage-366-456	366	456
assemblage-438-651	438	651
assemblage-645-408	645	408
assemblage-557-617	557	617
assemblage-558-310	558	310
assemblage-529-483	529	483
assemblage-472-392	472	392
assemblage-617-545	617	545
assemblage-519-455	519	455
assemblage-470-601	470	601
assemblage-296-526	296	526
assemblage-535-556	535	556
assemblage-566-327	566	327
assemblage-696-326	696	326
assemblage-474-606	474	606
assemblage-458-479	458	479
assemblage-540-587	540	587
assemblage-559-455	559	455
assemblage-626-554	626	554
assemblage-555-518	555	518
assemblage-396-594	396	594
assemblage-269-372	269	372
assemblage-648-678	648	678
assemblage-540-418	540	418
assemblage-363-547	363	547
assemblage-627-462	627	462
assemblage-433-652	433	652
assemblage-457-430	457	430
assemblage-491-640	491	640
assemblage-436-432	436	432
assemblage-497-493	497	493
assemblage-548-384	548	384
assemblage-407-486	407	486
assemblage-645-556	645	556
assemblage-484-442	484	442
assemblage-458-568	458	568
assemblage-363-465	363	465
assemblage-478-474	478	474
assemblage-425-380	425	380
assemblage-390-415	390	415
assemblage-462-687	462	687
assemblage-497-346	497	346
assemblage-564-510	564	510
assemblage-363-511	363	511
assemblage-530-477	530	477
assemblage-391-442	391	442
assemblage-415-630	415	630
assemblage-375-541	375	541
assemblage-542-538	542	538
assemblage-393-475	393	475
assemblage-339-595	339	595
assemblage-463-336	463	336
assemblage-390-620	390	620
assemblage-662-436	662	436
assemblage-550-465	550	465
assemblage-382-390	382	390
assemblage-522-470	522	470
assemblage-330-531	330	531
assemblage-564-613	564	613
assemblage-389-410	389	410
assemblage-454-498	454	498
