Assemblage_Name	6155949-1-4	1-1-4	1037482-4-4	1-0-3	6155949-1920728-4	2-7467897-2	2-4-2763704	2-4-4	6155949-7002998-4
assemblage-343-236	169	116	0	73	18	57	30	0	4
assemblage-371-808	163	100	0	116	0	0	104	0	13
assemblage-790-480	77	89	0	245	0	69	0	9	11
assemblage-684-472	171	125	0	85	0	0	25	0	8
assemblage-912-277	190	134	0	104	54	14	0	0	4
assemblage-195-187	0	0	4	67	0	0	0	429	0
assemblage-239-868	196	8	7	158	0	0	0	37	5
assemblage-481-156	127	60	0	225	0	5	0	62	6
assemblage-760-869	134	15	65	66	0	74	0	41	3
assemblage-406-358	180	105	0	27	13	0	61	0	18
